Date,Set,LSTM_Probability,Actual
2019-07-04,Train,0.6887914,0
2019-07-05,Train,0.6776904,0
2019-07-06,Train,0.66992104,0
2019-07-07,Train,0.66509926,1
2019-07-08,Train,0.6615306,0
2019-07-09,Train,0.6583872,1
2019-07-10,Train,0.65789044,1
2019-07-11,Train,0.6617693,1
2019-07-12,Train,0.6683022,1
2019-07-13,Train,0.6643753,1
2019-07-14,Train,0.65590525,1
2019-07-15,Train,0.6490362,1
2019-07-16,Train,0.6379588,0
2019-07-17,Train,0.6304054,1
2019-07-18,Train,0.62260854,0
2019-07-19,Train,0.6151178,0
2019-07-20,Train,0.6071503,0
2019-07-21,Train,0.5979402,0
2019-07-22,Train,0.5908455,1
2019-07-23,Train,0.58608997,0
2019-07-24,Train,0.58702123,0
2019-07-25,Train,0.5900147,0
2019-07-26,Train,0.5908115,1
2019-07-27,Train,0.58483565,0
2019-07-28,Train,0.58159745,0
2019-07-29,Train,0.5811373,0
2019-07-30,Train,0.5714921,1
2019-07-31,Train,0.5637108,0
2019-08-01,Train,0.5421392,0
2019-08-02,Train,0.5014614,0
2019-08-03,Train,0.45697394,0
2019-08-04,Train,0.41043943,1
2019-08-05,Train,0.37476328,0
2019-08-06,Train,0.3635271,1
2019-08-07,Train,0.38422063,0
2019-08-08,Train,0.41526222,0
2019-08-09,Train,0.44990927,1
2019-08-10,Train,0.48695323,0
2019-08-11,Train,0.52265346,0
2019-08-12,Train,0.5422929,1
2019-08-13,Train,0.5522258,1
2019-08-14,Train,0.5521743,0
2019-08-15,Train,0.55610746,0
2019-08-16,Train,0.55998313,0
2019-08-17,Train,0.5611979,0
2019-08-18,Train,0.5559609,1
2019-08-19,Train,0.5480993,0
2019-08-20,Train,0.5310873,1
2019-08-21,Train,0.5144905,0
2019-08-22,Train,0.50074697,0
2019-08-23,Train,0.49335086,0
2019-08-24,Train,0.48599148,0
2019-08-25,Train,0.48410368,0
2019-08-26,Train,0.47732836,0
2019-08-27,Train,0.46263137,1
2019-08-28,Train,0.4447149,0
2019-08-29,Train,0.4583642,0
2019-08-30,Train,0.46157447,0
2019-08-31,Train,0.460945,0
2019-09-01,Train,0.45752227,1
2019-09-02,Train,0.4408835,0
2019-09-03,Train,0.39415127,0
2019-09-04,Train,0.33217785,0
2019-09-05,Train,0.2890507,0
2019-09-06,Train,0.2581732,0
2019-09-07,Train,0.24681781,0
2019-09-08,Train,0.25657564,0
2019-09-09,Train,0.28257957,0
2019-09-10,Train,0.31062526,0
2019-09-11,Train,0.34474754,0
2019-09-12,Train,0.39402047,0
2019-09-13,Train,0.42155626,0
2019-09-14,Train,0.42767805,0
2019-09-15,Train,0.41997793,0
2019-09-16,Train,0.40150562,0
2019-09-17,Train,0.3766264,0
2019-09-18,Train,0.3514855,0
2019-09-19,Train,0.3381159,0
2019-09-20,Train,0.32920086,0
2019-09-21,Train,0.33487988,0
2019-09-22,Train,0.33303833,1
2019-09-23,Train,0.3294195,1
2019-09-24,Train,0.33857217,0
2019-09-25,Train,0.35590467,1
2019-09-26,Train,0.36276558,0
2019-09-27,Train,0.35686693,0
2019-09-28,Train,0.35185587,0
2019-09-29,Train,0.34222934,0
2019-09-30,Train,0.3410609,0
2019-10-01,Train,0.35860315,0
2019-10-02,Train,0.37859088,0
2019-10-03,Train,0.39286104,0
2019-10-04,Train,0.3866228,0
2019-10-05,Train,0.3647146,0
2019-10-06,Train,0.3615336,0
2019-10-07,Train,0.34635404,0
2019-10-08,Train,0.3558005,1
2019-10-09,Train,0.33767858,0
2019-10-10,Train,0.29249164,0
2019-10-11,Train,0.24342169,0
2019-10-12,Train,0.21079238,0
2019-10-13,Train,0.1964585,0
2019-10-14,Train,0.19637498,0
2019-10-15,Train,0.1931267,0
2019-10-16,Train,0.19859582,0
2019-10-17,Train,0.21616824,0
2019-10-18,Train,0.25571945,0
2019-10-19,Train,0.31748918,0
2019-10-20,Train,0.39036,0
2019-10-21,Train,0.45150417,0
2019-10-22,Train,0.48528674,1
2019-10-23,Train,0.4963403,0
2019-10-24,Train,0.48228475,1
2019-10-25,Train,0.46776754,1
2019-10-26,Train,0.44540405,0
2019-10-27,Train,0.40565926,0
2019-10-28,Train,0.35753548,0
2019-10-29,Train,0.31965402,0
2019-10-30,Train,0.3136601,0
2019-10-31,Train,0.33437216,0
2019-11-01,Train,0.35429546,0
2019-11-02,Train,0.39312527,0
2019-11-03,Train,0.428124,0
2019-11-04,Train,0.4452194,0
2019-11-05,Train,0.46762985,0
2019-11-06,Train,0.49660626,0
2019-11-07,Train,0.51697075,1
2019-11-08,Train,0.51964855,0
2019-11-09,Train,0.49965787,0
2019-11-10,Train,0.5070491,1
2019-11-11,Train,0.510255,0
2019-11-12,Train,0.52433425,0
2019-11-13,Train,0.5300949,0
2019-11-14,Train,0.5289527,0
2019-11-15,Train,0.5253982,0
2019-11-16,Train,0.5222332,0
2019-11-17,Train,0.51532185,0
2019-11-18,Train,0.50103474,0
2019-11-19,Train,0.47988144,0
2019-11-20,Train,0.450837,1
2019-11-21,Train,0.42146403,1
2019-11-22,Train,0.39445573,0
2019-11-23,Train,0.4170318,1
2019-11-24,Train,0.43883395,0
2019-11-25,Train,0.45097107,0
2019-11-26,Train,0.4720026,1
2019-11-27,Train,0.47409666,0
2019-11-28,Train,0.45602605,1
2019-11-29,Train,0.43498272,0
2019-11-30,Train,0.40109673,0
2019-12-01,Train,0.3596431,0
2019-12-02,Train,0.3284442,0
2019-12-03,Train,0.32134098,0
2019-12-04,Train,0.3186755,0
2019-12-05,Train,0.33163607,0
2019-12-06,Train,0.33601257,0
2019-12-07,Train,0.31902042,0
2019-12-08,Train,0.29562417,0
2019-12-09,Train,0.28626078,0
2019-12-10,Train,0.27062905,0
2019-12-11,Train,0.2657304,0
2019-12-12,Train,0.27078384,0
2019-12-13,Train,0.29671222,0
2019-12-14,Train,0.3276447,0
2019-12-15,Train,0.3884942,0
2019-12-16,Train,0.44827124,1
2019-12-17,Train,0.50209993,1
2019-12-18,Train,0.54324627,0
2019-12-19,Train,0.54863346,0
2019-12-20,Train,0.51408607,0
2019-12-21,Train,0.450585,1
2019-12-22,Train,0.37367684,0
2019-12-23,Train,0.2859194,0
2019-12-24,Train,0.2415475,0
2019-12-25,Train,0.22369227,0
2019-12-26,Train,0.24579933,0
2019-12-27,Train,0.2683412,0
2019-12-28,Train,0.29289058,0
2019-12-29,Train,0.317485,0
2019-12-30,Train,0.31245258,0
2019-12-31,Train,0.32293007,0
2020-01-01,Train,0.32825232,0
2020-01-02,Train,0.31069967,1
2020-01-03,Train,0.3223586,0
2020-01-04,Train,0.330161,0
2020-01-05,Train,0.33221796,1
2020-01-06,Train,0.3108791,1
2020-01-07,Train,0.29690817,0
2020-01-08,Train,0.2888236,0
2020-01-09,Train,0.29903165,1
2020-01-10,Train,0.32790115,0
2020-01-11,Train,0.35065067,0
2020-01-12,Train,0.3699284,0
2020-01-13,Train,0.37961182,1
2020-01-14,Train,0.38890207,0
2020-01-15,Train,0.3893741,0
2020-01-16,Train,0.4151866,0
2020-01-17,Train,0.44999534,0
2020-01-18,Train,0.45195684,0
2020-01-19,Train,0.4613737,0
2020-01-20,Train,0.48431158,0
2020-01-21,Train,0.48759535,0
2020-01-22,Train,0.4887863,0
2020-01-23,Train,0.49329135,0
2020-01-24,Train,0.49649382,0
2020-01-25,Train,0.4846892,0
2020-01-26,Train,0.4753966,1
2020-01-27,Train,0.45440996,1
2020-01-28,Train,0.42176694,0
2020-01-29,Train,0.3748791,0
2020-01-30,Train,0.33751336,0
2020-01-31,Train,0.31395796,0
2020-02-01,Train,0.30885053,0
2020-02-02,Train,0.32309154,0
2020-02-03,Train,0.36138767,0
2020-02-04,Train,0.40929872,1
2020-02-05,Train,0.45210987,0
2020-02-06,Train,0.48644802,0
2020-02-07,Train,0.5117179,0
2020-02-08,Train,0.52396035,0
2020-02-09,Train,0.52178967,0
2020-02-10,Train,0.50314593,1
2020-02-11,Train,0.4756706,0
2020-02-12,Train,0.44066545,0
2020-02-13,Train,0.42007634,0
2020-02-14,Train,0.408091,1
2020-02-15,Train,0.4099748,0
2020-02-16,Train,0.41636473,0
2020-02-17,Train,0.42094782,1
2020-02-18,Train,0.4265537,1
2020-02-19,Train,0.41956323,0
