Set,LSTM_Probability,Actual
Train,0.50425744,1
Train,0.5035541,1
Train,0.5030071,0
Train,0.5026605,0
Train,0.50247025,1
Train,0.5023148,0
Train,0.5022329,0
Train,0.5022017,1
Train,0.50220823,1
Train,0.5023689,1
Train,0.50265145,0
Train,0.50308347,0
Train,0.5035924,1
Train,0.5041269,1
Train,0.50467175,1
Train,0.5051661,1
Train,0.5055575,1
Train,0.5058035,1
Train,0.5059841,0
Train,0.5061255,0
Train,0.5061232,1
Train,0.5060035,0
Train,0.5058381,0
Train,0.5055634,0
Train,0.50505996,1
Train,0.5043475,1
Train,0.503531,1
Train,0.5027065,0
Train,0.50203836,1
Train,0.5015779,1
Train,0.50136924,0
Train,0.5014509,1
Train,0.50169885,1
Train,0.50209033,0
Train,0.5026616,0
Train,0.5033298,1
Train,0.50390625,0
Train,0.50435185,0
Train,0.50457746,1
Train,0.50449586,1
Train,0.5042033,1
Train,0.50388825,1
Train,0.50371057,1
Train,0.50386757,1
Train,0.5043259,1
Train,0.50490975,1
Train,0.50551003,0
Train,0.5059972,0
Train,0.50629306,1
Train,0.50633466,0
Train,0.50617373,1
Train,0.50575566,1
Train,0.50517726,1
Train,0.50450504,0
Train,0.5037415,1
Train,0.5028535,1
Train,0.501908,1
Train,0.5008987,1
Train,0.4998973,1
Train,0.4989655,1
Train,0.4981418,1
Train,0.49738845,0
Train,0.49667433,1
Train,0.49599236,1
Train,0.49535716,1
Train,0.49479672,1
Train,0.49426463,0
Train,0.49376553,0
Train,0.49333706,0
Train,0.49298424,0
Train,0.49274552,1
Train,0.49264082,1
Train,0.49261156,0
Train,0.49263155,0
Train,0.49273843,0
Train,0.49292758,1
Train,0.49319124,0
Train,0.49347582,0
Train,0.49379024,0
Train,0.4941393,1
Train,0.49455327,0
Train,0.49496254,1
Train,0.49537683,1
Train,0.49572152,1
Train,0.49594393,0
Train,0.49607068,1
Train,0.49610868,1
Train,0.4960206,0
Train,0.4958012,0
Train,0.49553734,1
Train,0.49525785,1
Train,0.49495646,1
Train,0.4946214,0
Train,0.49426898,1
Train,0.49390477,1
Train,0.4935847,0
Train,0.49330193,1
Train,0.49305624,1
Train,0.49277255,0
Train,0.4924498,1
Train,0.4921126,0
Train,0.4917436,0
Train,0.49134034,1
Train,0.49095133,0
Train,0.49054357,1
Train,0.49015537,1
Train,0.4897784,0
Train,0.4893903,1
Train,0.48899958,1
Train,0.48861971,1
Train,0.48825097,0
Train,0.48789358,0
Train,0.4876389,1
Train,0.48756114,0
Train,0.4875828,0
Train,0.4877516,0
Train,0.48786926,0
Train,0.48811194,1
Train,0.48845935,0
Train,0.48879275,1
Train,0.4891224,0
Train,0.48939794,1
Train,0.4896617,0
Train,0.4899188,1
Train,0.49017662,1
Train,0.490399,1
Train,0.49055925,1
Train,0.49062616,1
Train,0.49063757,0
Train,0.49055094,1
Train,0.49030015,0
Train,0.4900519,0
Train,0.48976156,1
Train,0.48949516,1
Train,0.48921958,0
Train,0.48892206,1
Train,0.48862812,0
Train,0.48834258,0
Train,0.48807034,0
Train,0.48782566,1
Train,0.48767224,0
Train,0.48757693,0
Train,0.48754594,1
Train,0.48754755,1
Train,0.48749882,0
Train,0.4874304,1
Train,0.48735398,1
Train,0.48722938,1
Train,0.48709238,1
Train,0.48700404,1
Train,0.48694763,0
Train,0.48692867,1
Train,0.48697275,1
Train,0.4870497,0
Train,0.4871191,0
Train,0.48719823,1
Train,0.48730457,0
Train,0.48734894,1
Train,0.48733974,1
Train,0.4872475,0
Train,0.48707744,1
Train,0.4868702,0
Train,0.48661774,1
Train,0.48637822,0
Train,0.48616272,0
Train,0.486009,0
Train,0.48592046,0
Train,0.4859479,1
Train,0.48605794,0
Train,0.48620287,0
Train,0.4863901,0
Train,0.48660648,0
Train,0.48679936,0
Train,0.4869864,1
Train,0.48715308,1
Train,0.48718148,0
Train,0.4870822,0
Train,0.48687744,1
Train,0.486653,1
Train,0.48635444,0
Train,0.486056,1
Train,0.48577285,0
Train,0.48552632,1
Train,0.48538944,0
Train,0.48525333,1
Train,0.48515916,1
Train,0.4850682,0
Train,0.484982,0
Train,0.48491606,1
Train,0.4849386,0
Train,0.4850109,1
Train,0.48524338,1
Train,0.4855134,0
Train,0.48581827,0
Train,0.48617122,0
Train,0.48649588,0
Train,0.48680413,0
Train,0.4870611,1
Train,0.48727608,0
Train,0.48740283,1
Train,0.4874969,0
Train,0.48755357,1
Train,0.48759234,0
Train,0.48751906,1
Train,0.48735768,0
Train,0.48704675,0
Train,0.48666212,0
Train,0.48630404,1
Train,0.4859784,1
Train,0.48567194,0
Train,0.48532155,1
Train,0.48498508,1
Train,0.48462626,0
Train,0.48424655,0
Train,0.48391533,1
Train,0.48370174,0
Train,0.48355076,0
Train,0.4835434,1
Train,0.48358208,0
Train,0.48356074,1
Train,0.48355007,0
Train,0.48354766,1
Train,0.48363072,1
Train,0.48373365,1
Train,0.4838835,0
Train,0.48411423,0
Train,0.48445642,0
Train,0.4849048,0
Train,0.48545542,1
Train,0.4860352,0
Train,0.48655653,1
Train,0.48705527,1
Train,0.4874558,1
Train,0.48776668,0
Train,0.48799092,1
Train,0.48819095,1
Train,0.48833615,0
Train,0.48841044,1
Train,0.48840562,0
Train,0.4883564,0
Train,0.48831683,1
Train,0.4883501,1
Train,0.48840582,1
Train,0.48845896,0
Train,0.48848194,1
Train,0.48847455,0
Train,0.4884466,0
Train,0.48842692,1
Train,0.48840734,0
Train,0.4883215,1
Train,0.4882107,0
Train,0.48809427,0
Train,0.4880284,1
Train,0.4880308,0
Train,0.4880626,0
Train,0.48814097,1
Train,0.48825285,1
Train,0.48836643,0
Train,0.48844832,0
Train,0.488485,1
Train,0.48850375,1
Train,0.48841083,1
Train,0.48826215,1
Train,0.4880892,1
Train,0.4879694,1
Train,0.4879699,1
Train,0.48802182,1
Train,0.48810607,1
Train,0.488198,1
Train,0.48826838,0
Train,0.4883076,0
Train,0.48834956,0
Train,0.48841903,0
Train,0.48848712,1
Train,0.4885735,1
Train,0.4886056,1
Train,0.4885692,1
Train,0.48846474,0
Train,0.4883119,1
Train,0.48817596,0
Train,0.4880066,1
Train,0.48787916,0
Train,0.4877877,1
Train,0.48774308,0
Train,0.48772314,0
Train,0.48776153,0
Train,0.48783645,0
Train,0.48795465,1
Train,0.4881227,1
Train,0.4883196,1
Train,0.48844913,0
Train,0.48848593,1
Train,0.48848993,1
Train,0.48847547,0
Train,0.48846605,1
Train,0.48849875,0
Train,0.48853078,1
Train,0.48859948,0
Train,0.48866728,0
Train,0.48874283,0
Train,0.488823,1
Train,0.48894334,1
Train,0.48904878,1
Train,0.48908067,1
Train,0.48905635,0
Train,0.48901603,1
Train,0.48899305,1
Train,0.48898488,0
Train,0.48901027,0
Train,0.48912737,1
Train,0.48931813,0
Train,0.4895112,1
Train,0.48973373,1
Train,0.48991388,0
Train,0.49001524,1
Train,0.49003246,1
Train,0.48992443,0
Train,0.48972148,0
Train,0.48944426,1
Train,0.48915038,0
Train,0.4888476,0
Train,0.48861,0
Train,0.48851794,1
Train,0.48847872,1
Train,0.48843786,0
Train,0.48835352,0
